sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
155,106,155,0,33,234,283,4,236,5,1,1,1,0,0,1,0,3,0,1,1,2,1,806,0,807,0
156,106,156,0,14,146,178,4,200,1,4,1,1,1,0,3,2,1,1,1,1,0,2,559,0,561,0
157,106,157,0,32,290,300,5,292,17,1,0,0,1,1,2,2,1,3,3,0,2,5,952,0,957,0
158,106,158,0,17,184,377,4,172,1,0,0,2,0,1,0,0,3,2,3,0,1,3,767,0,770,0
159,106,159,0,20,169,220,0,212,1,1,2,0,0,0,0,2,1,3,1,2,2,0,636,0,636,0
160,106,160,0,14,148,248,1,169,3,0,0,0,0,0,0,1,0,2,2,0,2,1,590,0,591,0
161,106,161,0,20,148,326,2,146,2,2,0,0,0,1,0,1,3,0,2,2,1,7,656,0,663,0
162,106,162,0,25,181,323,7,216,2,5,1,0,0,1,1,1,0,0,1,0,1,1,765,0,766,0
163,106,163,0,13,142,168,3,138,2,0,0,0,1,0,3,3,0,1,0,0,1,1,475,0,476,0
164,106,164,0,24,124,164,2,130,43,0,1,0,0,0,1,2,1,1,0,1,2,2,496,0,498,0
165,106,165,0,25,174,209,4,324,0,1,0,3,0,0,1,0,0,0,1,1,1,3,744,0,747,0
166,106,166,0,12,102,107,2,368,4,2,2,2,0,0,3,4,2,1,5,0,4,4,620,0,624,0
167,106,167,0,14,169,308,6,261,2,0,0,1,0,1,1,1,4,3,2,0,2,2,775,0,777,0
168,106,168,0,20,154,318,2,199,1,1,2,0,0,0,0,1,0,1,0,0,1,0,700,0,700,0
169,106,169,0,12,117,196,2,136,1,1,1,0,0,2,2,0,1,2,2,0,0,0,475,0,475,0
170,106,170,0,35,271,145,5,201,0,0,0,0,0,0,0,4,3,2,2,1,3,4,672,0,676,0
171,106,171,0,19,141,214,3,192,66,1,1,1,2,0,0,1,1,0,2,3,5,3,652,0,655,0
172,106,172,0,13,251,184,2,216,3,0,0,1,0,0,1,0,0,2,0,0,2,0,675,0,675,0
173,106,173,0,25,200,227,1,194,5,1,0,0,0,0,0,0,2,3,2,0,0,2,660,0,662,0
174,106,174,0,27,206,269,5,216,13,0,0,2,1,1,0,2,0,0,5,0,3,2,750,0,752,0
175,106,175,0,31,189,205,1,269,1,0,0,0,1,0,0,1,1,1,2,0,2,2,704,0,706,0
176,106,176,0,17,272,275,2,182,0,0,0,0,0,0,0,0,3,1,0,0,0,3,752,0,755,0
177,106,177,0,16,193,214,7,276,3,2,0,0,0,1,2,2,0,4,2,1,0,1,723,0,724,0
178,106,178,0,17,196,277,1,211,1,0,0,0,0,1,2,1,2,3,3,0,6,2,721,0,723,0
179,106,179,0,20,191,293,6,201,0,1,1,1,1,0,2,2,2,2,0,0,4,1,727,0,728,0
180,106,180,0,17,216,244,2,190,0,0,0,0,0,0,0,0,0,1,0,1,3,0,674,0,674,0
181,106,181,0,34,170,242,2,164,0,0,0,0,0,1,0,1,0,1,1,1,5,2,622,0,624,0
182,106,182,0,6,130,106,1,194,0,0,0,1,1,0,0,0,0,1,0,0,0,1,440,0,441,0
183,106,183,0,26,259,191,2,316,1,0,0,0,0,0,2,1,2,0,2,2,1,3,805,0,808,0
184,106,184,0,23,143,242,13,241,1,1,0,1,2,0,2,0,2,1,3,4,1,1,680,0,681,0
185,106,185,0,27,136,214,4,230,7,2,1,0,0,0,2,3,2,6,2,1,0,2,637,0,639,0
186,106,186,0,22,152,234,2,203,5,0,1,0,0,0,1,3,0,1,2,1,0,1,627,0,628,0
187,106,187,0,12,55,142,3,130,2,0,0,0,0,0,4,0,0,0,0,0,0,3,348,0,351,0
188,106,188,0,45,197,180,3,318,27,0,1,2,1,2,1,4,2,3,1,0,2,2,789,0,791,0
189,106,189,0,19,150,111,1,81,15,0,2,0,1,0,0,0,1,1,1,1,2,1,386,0,387,0
190,106,190,0,36,249,156,2,277,12,0,0,0,0,0,0,0,0,0,0,1,1,0,734,0,734,0
191,106,191,0,20,181,141,1,184,12,0,1,1,0,1,0,1,3,3,0,1,1,3,551,0,554,0
192,106,192,0,22,190,340,4,313,24,1,2,1,0,0,5,1,0,1,6,0,1,4,911,0,915,0
193,106,193,0,40,230,211,6,482,7,0,1,0,1,4,0,3,3,2,6,1,3,2,1000,0,1002,0
194,106,194,0,17,180,236,2,248,4,0,1,0,1,0,3,0,0,0,4,1,3,1,700,0,701,0
