ac_code,ps_serial_number,ps_code,candidate_serial_number,candidate_votes
170,85,85,13,0
170,85,85,14,4
170,85,85,0,3
170,86,86,1,228
170,86,86,2,246
170,86,86,3,21
170,86,86,4,6
170,86,86,5,1
170,86,86,6,212
170,86,86,7,2
170,86,86,8,1
170,86,86,9,1
170,86,86,10,1
170,86,86,11,0
170,86,86,12,0
170,86,86,13,1
170,86,86,14,2
170,86,86,0,0
170,87,87,1,255
170,87,87,2,206
170,87,87,3,7
170,87,87,4,1
170,87,87,5,0
170,87,87,6,166
170,87,87,7,2
170,87,87,8,0
170,87,87,9,1
170,87,87,10,0
170,87,87,11,0
170,87,87,12,1
170,87,87,13,1
170,87,87,14,1
170,87,87,0,4
170,88,88,1,264
170,88,88,2,243
170,88,88,3,10
170,88,88,4,2
170,88,88,5,1
170,88,88,6,102
170,88,88,7,1
170,88,88,8,0
170,88,88,9,0
170,88,88,10,1
170,88,88,11,0
170,88,88,12,0
170,88,88,13,1
170,88,88,14,1
170,88,88,0,3
170,89,89,1,303
170,89,89,2,191
