sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,total_valid_votes,rejected_votes,total,tendered_votes
82,150,82,0,94,2,19,0,3,171,4,0,6,285,2,3,0,0,0,2,0,0,0,0,591,0,591,0,0,0,0,0,82,0
83,150,83,0,162,1,15,2,0,131,4,2,1,348,0,4,0,0,0,1,2,0,0,0,673,0,673,0,0,0,0,0,83,0
84,150,84,0,254,15,3,0,3,216,4,1,0,266,3,3,1,0,1,1,6,1,0,0,778,0,778,0,0,0,0,0,84,0
85,150,85,0,74,0,20,0,0,164,0,0,0,20,0,0,0,0,0,0,0,0,0,1,279,0,279,0,0,0,0,0,85,0
85,150,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,150,86,0,407,2,30,0,4,209,1,0,0,137,1,2,1,0,1,3,9,0,0,2,809,0,809,0,0,0,0,0,86,0
86,150,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,150,87,0,105,2,13,0,0,75,2,0,1,135,1,0,0,0,1,2,0,0,0,0,337,0,337,0,0,0,0,0,87,0
87,150,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,150,88,0,166,0,21,0,2,153,0,0,8,387,1,6,1,1,1,1,1,0,0,0,749,0,749,0,0,0,0,0,88,0
88,150,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,150,89,0,160,2,22,0,3,147,2,0,1,272,1,3,0,2,1,4,2,0,0,0,622,0,622,0,0,0,0,0,89,0
89,150,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,150,90,0,25,0,7,0,1,72,0,2,8,176,0,0,1,0,0,0,0,0,0,0,292,0,292,0,0,0,0,0,90,0
90,150,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,150,91,0,144,2,13,2,4,111,8,13,28,470,3,8,2,1,1,6,1,0,0,0,817,0,817,0,0,0,0,0,91,0
92,150,92,0,261,0,16,1,4,192,2,1,6,282,1,2,0,1,0,5,5,0,0,1,780,0,780,0,0,0,0,0,92,0
93,150,93,0,181,0,25,1,1,205,4,4,29,548,3,5,0,0,0,1,1,0,0,3,1011,0,1011,0,0,0,0,0,93,0
94,150,94,0,75,1,12,0,3,123,4,0,7,264,2,2,0,1,0,0,3,0,0,0,497,0,497,0,0,0,0,0,94,0
95,150,95,0,210,2,8,0,3,182,2,0,0,121,1,0,0,1,1,2,2,0,0,0,535,0,535,0,0,0,0,0,95,0
96,150,96,0,62,0,19,0,1,124,0,3,42,443,1,0,0,0,1,1,1,0,0,2,700,0,700,0,0,0,0,0,96,0
