sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
111,18,111,0,3,494,19,10,126,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,655,0,3,0
112,18,112,0,2,359,6,47,222,0,0,0,1,0,2,0,0,0,0,3,2,0,0,1,0,0,0,0,645,0,1,0
113,18,113,0,0,344,4,5,93,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,0
114,18,114,0,0,415,9,23,204,4,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,660,0,3,0
115,18,115,0,0,296,5,5,92,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,402,0,2,0
116,18,116,0,1,247,11,34,163,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,463,0,0,0
117,18,117,0,0,329,5,9,159,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,509,0,1,0
118,18,118,0,0,458,11,34,165,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,674,0,2,0
119,18,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,18,119,0,0,451,9,11,91,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,566,0,3,0
120,18,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,18,120,0,1,347,9,10,107,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,481,0,2,0
121,18,121,0,0,285,8,65,325,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,689,0,1,0
122,18,122,0,2,185,8,53,159,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,414,0,3,0
123,18,123,0,1,435,11,37,142,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,631,0,8,0
124,18,124,0,3,397,20,68,199,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,695,0,9,0
125,18,125,0,0,282,9,67,306,3,0,0,1,0,4,0,1,1,3,1,0,1,0,0,1,0,1,0,681,0,2,0
